root_id,x_nm,y_nm,z_nm
720575941570463988,598396,72840,85815
720575941461608848,581484,74356,80910
720575941586192262,414996,72084,80370
720575941517445113,526324,72908,153810
720575941460757188,413640,73876,83790
720575941483235270,413140,74904,84060
720575941572625822,600116,69924,88200
720575941671847847,599800,69216,88650
720575941611555049,593096,65632,151110
720575941458070000,535868,120856,72360
720575941551655195,475472,100412,141750
720575941613717724,410224,82132,82260
720575941614437785,385708,120780,68130
720575941550999668,403284,126028,76050
720575941600020521,596280,82124,78930
720575941667522547,465520,199008,58185
720575941498899106,595444,93272,71100
720575941566007703,415760,68632,85185
720575941611489497,398064,128864,69660
720575941617255893,399100,125900,73125
720575941481137999,591012,77460,80955
720575941627348682,408896,175028,62415
720575941628856633,394508,167596,68130
720575941604804793,363416,117956,75015
720575941668964529,584464,78856,78480
720575941577672793,397464,128536,69525
720575941611031014,400432,141208,60210
720575941432313336,400292,131732,68670
720575941603690942,412100,76736,85365
720575941465868630,402012,131328,70290
720575941553752577,603408,650016,135090
720575941527209730,474716,67904,147015
720575941566137863,477016,95636,106470
720575941584488287,629816,159112,175815
720575941536254657,601428,175920,161235
720575941409049135,267072,99776,105345
720575941529175684,657608,117176,161415
720575941547263924,649044,122624,165285
720575941611424486,413996,78032,76500
720575941628201017,418372,89732,79065
720575941565614343,491724,167780,145305
720575941655071249,472096,95396,148455
720575941547198569,442176,217216,180000
720575941557226212,684096,160832,202590
720575941540711037,599528,170048,218295
720575941524719691,685344,152080,223965
720575941553555518,274432,109824,191835
720575941548246920,513212,615612,195030
720575941592025740,419240,948828,250515
720575941655070737,547384,184884,86985
720575941533107685,413836,71068,82125
720575941546346653,482888,68132,135270
720575941668571891,593804,66504,89145
720575941644649889,403248,62504,100260
720575941618239445,639836,148072,146250
720575941592811404,261764,163200,100170
720575941540055026,401136,189200,200115
720575941545888005,343820,195132,192960
720575941670865329,585940,98576,176715
720575941640456309,565136,59780,151830
720575941566793570,426256,55068,143010
720575941504992855,599276,100808,71505
720575941522491063,428880,79272,73215
720575941554014270,479048,76024,106965
720575941492672204,453440,106064,77760
720575941587764702,561736,111388,104085
720575941439654418,573008,136720,150120
720575941554014526,557108,103996,129105
720575941460495007,572264,60720,120465
720575941566007959,413664,74904,80865
720575941625514604,408792,99256,111960
720575941597792924,585408,63300,98730
720575941527603812,143500,195036,99990
720575941553883710,769368,102260,110835
720575941594909223,697360,136216,142650
720575941613520301,658636,177488,138510
720575941517248761,178040,132368,94590
720575941432313519,559884,97472,211680
720575941506303426,709348,119964,91575
720575941514758755,466376,627652,138780
720575941631150060,613680,102484,82080
720575941554276609,356944,185736,221760
720575941438474284,414512,897028,196425
720575941597726876,590172,65800,88785
720575941452236201,559872,171520,238455
720575941506239045,400280,195692,212760
720575941498046177,400016,185712,202095
720575941437622495,374416,171424,207315
720575941519476334,502972,621220,87750
720575941605656429,371840,188508,203580
720575941492475598,415636,917024,178695
720575941530880131,391352,930120,201015
720575941460232147,427428,703280,189675
720575941625907769,499580,657240,195075
